Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brunei Darussalam,BRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.73,31.33,24.1,37.66,36.62,34.14,40.16,43.07,51.82,49.64,57.16,79.35,113.35,122.8,190.14,177.77,230.04,214.24,293.91,
Bhutan,BTN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,1,6.23,3.66,9.36,5.98,17.38,8.58,6.64,11.55,17.79,17.75,17.22,28.8,28.36,25.18,42.02,44.3,52.64,
Botswana,BWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.79,98.82,117.17,124.59,131.92,119.19,186.28,149.26,160.63,162.66,160.99,163.72,157.49,171.81,207.35,160.83,252.46,234.51,280.57,
Central African Republic,CAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,6.87,3.72,10.41,10.4,8.56,13.41,8.5,10.14,11.05,14.35,15.16,10.58,12.59,18.23,13.65,27.88,18.96,20.47,
Canada,CAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33854.39,33374.29,36153.2,38040.42,41974.14,47256.69,49158.88,52152.72,53295.51,55378.23,56294.52,57594.93,59607.51,59902.46,60774.68,60533.24,60045,60214.84,59967.79,
Central Europe and the Baltics,CEB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33671.28,35627.82,38268.14,40431.62,44156.98,49673.44,52655.71,57792.2,64663.77,67067.45,71404.58,75155.85,78287.13,80313.08,84561.24,88013.6,89054.26,90981.03,89500.84,
Switzerland,CHE,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12581.18,12241.1,12412.04,13077.35,14116.55,15424.76,16402.79,16914.5,17372.8,17985.74,18749.79,19841.32,21002.95,21596.49,22142.67,21866.6,21952.33,22420.65,21378.56,
Channel Islands,CHI,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.36,1633.56,2069.52,2090.21,2239.69,2512.22,3112.32,3265.02,3734.74,3979.09,4111.13,4475.84,4967.15,5038.61,5806.96,6037.51,6639.23,6791.32,7121.74,
China,CHN,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53064.35,70439.37,74015.97,86912,120362.55,165335.65,189949.47,215206.94,249048.56,286371.91,312516.81,326770.84,329015.38,359274.07,390396.24,407974.61,438348.74,473438.51,528263.25,
Cote d'Ivoire,CIV,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.76,80.14,78.97,97.54,106.3,100.74,98.53,120.02,165.07,154.33,156.65,182.65,187.37,164.72,180.4,191.85,170.87,197.66,248.14,
Cameroon,CMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.57,151.21,190.66,207.96,213.07,280.31,318.16,337.68,329.97,359.38,374.53,428.84,438.28,523.78,604.56,638.47,699.72,800.58,875.62,
